ID1,ID2,LINK TYPE (IMPACT/INVOLVEMENT),"LINK THEME (FACULTY, STUDENT, ENTREPRENEURSHIP, ETC.)","Health, Sustainability, Security",,
000370452,ORG37,Impact,Athletics,,,
000370808,ORG80,Impact,Athletics,,,
000733622,ORG109,Impact,Athletics,,,
000733622,ORG80,Impact,Athletics,,,
000760053,ORG37,Impact,Athletics,,,
000956769,ORG37,Impact,Athletics,,,
ORG193,ORG155,Involvement,Entrepreneurs,,,
001181880,ORG38,Involvement,Entrepreneurship,Health,,
ORG131,ORG193,Involvement,Entrepreneurship,Health,,
ORG16,ORG87,Involvement,Entrepreneurship,Health,,
ORG39,ORG87,Involvement,Entrepreneurship,health,,
ORG42,ORG155,Involvement,Entrepreneurship,Health,,
ORG42,ORG157,Involvement,Entrepreneurship,Health,,
ORG42,ORG38,Involvement,Entrepreneurship,health,,
ORG54,ORG16,Involvement,Entrepreneurship,Health,,
000392823,ORG59,Impact,Entrepreneurship,,,
000397788,ORG77,Impact,Entrepreneurship,,,
000654898,ORG39,Impact,Entrepreneurship,,,
000733622,ORG77,Impact,Entrepreneurship,,,
000788141,ORG59,Impact,Entrepreneurship,,,
001668338,ORG76,Involvement,Entrepreneurship,,,
ORG117,ORG53,Involvement,Entrepreneurship,,,
ORG14,000963103,Involvement,Entrepreneurship,,,
ORG150,001108582,Involvement,Entrepreneurship,,,
ORG150,001170851,Involvement,Entrepreneurship,,,
ORG151,001148947,Involvement,Entrepreneurship,,,
ORG152,000055520,Involvement,Entrepreneurship,,,
ORG152,000591381,Involvement,Entrepreneurship,,,
ORG153,000596351,Involvement,Entrepreneurship,,,
ORG154,000161099,Involvement,Entrepreneurship,,,
ORG155,000174644,Involvement,Entrepreneurship,,,
ORG156,000152505,Involvement,Entrepreneurship,,,
ORG156,000425394,Involvement,Entrepreneurship,,,
ORG157,000952734,Involvement,Entrepreneurship,,,
ORG21,ORG74,Involvement,Entrepreneurship,,,
ORG28,ORG15,Involvement,Entrepreneurship,,,
ORG28,ORG35,Involvement,Entrepreneurship,,,
ORG28,ORG42,Involvement,Entrepreneurship,,,
ORG28,ORG54,Involvement,Entrepreneurship,,,
ORG28,ORG59,Involvement,Entrepreneurship,,,
ORG28,ORG77,Involvement,Entrepreneurship,,,
ORG39,001735965,Involvement,Entrepreneurship,,,
ORG39,001780712,Involvement,Entrepreneurship,,,
ORG39,ORG49,Involvement,Entrepreneurship,,,
ORG42,000025192,Involvement,Entrepreneurship,,,
ORG42,000175826,Involvement,Entrepreneurship,,,
ORG42,000333494,Involvement,Entrepreneurship,,,
ORG42,000373813,Involvement,Entrepreneurship,,,
ORG42,000515171,Involvement,Entrepreneurship,,,
ORG42,001181880,Involvement,Entrepreneurship,,,
ORG42,001936881,Involvement,Entrepreneurship,,,
ORG42,001935740,Involvement,Entrepreneurship,,,
ORG42,ORG14,Involvement,Entrepreneurship,,,
ORG42,ORG150,Involvement,Entrepreneurship,,,
ORG42,ORG151,Involvement,Entrepreneurship,,,
ORG42,ORG152,Involvement,Entrepreneurship,,,
ORG42,ORG153,Involvement,Entrepreneurship,,,
ORG42,ORG154,Involvement,Entrepreneurship,,,
ORG42,ORG156,Involvement,Entrepreneurship,,,
ORG42,ORG159,Involvement,Entrepreneurship,,,
ORG42,ORG49,Involvement,Entrepreneurship,,,
ORG42,ORG52,Involvement,Entrepreneurship,,,
ORG42,ORG90,Involvement,Entrepreneurship,,,
ORG49,001966185,Involvement,Entrepreneurship,,,
ORG52,000333494,Involvement,Entrepreneurship,,,
ORG53,000959199,Involvement,Entrepreneurship,,,
ORG53,ORG39,Involvement,Entrepreneurship,,,
ORG54,ORG15,Involvement,Entrepreneurship,,,
ORG54,ORG35,Involvement,Entrepreneurship,,,
ORG54,ORG39,Involvement,Entrepreneurship,,,
ORG54,ORG42,Involvement,Entrepreneurship,,,
ORG54,ORG44,Involvement,Entrepreneurship,,,
ORG54,ORG61,Involvement,Entrepreneurship,,,
ORG54,ORG74,Involvement,Entrepreneurship,,,
ORG54,ORG76,Involvement,Entrepreneurship,,,
ORG60,ORG44,Involvement,Entrepreneurship,,,
ORG74,001179960,Involvement,Entrepreneurship,,,
ORG76,001935740,Involvement,Entrepreneurship,,,
ORG77,ORG76,Involvement,Entrepreneurship,,,
ORG90,001792927,Involvement,Entrepreneurship,,,
000083850,ORG203,Involvement,Entrepreneurship,,,
000562749,ORG74,Involvement,Entrepreneurship,,,
ORG159,001204626,Involvement,Entrepreneurship | Undergraduate Financial Aid,,,
ORG159,001993768,Involvement,Entrepreneurship | Undergraduate Financial Aid,,,
ORG159,001933287,Involvement,Entrepreneurship | Undergraduate Financial Aid,,,
000307801,000579392,Impact,Faculty,,,
000336468,000500658,Impact,Faculty,,,
000336468,001134982,Impact,Faculty,,,
000336468,001798183,Impact,Faculty,,,
000914607,ORG29,Impact,Faculty,,,
000956769,000061387,Impact,Faculty,,,
ORG28,ORG29,Involvement,Faculty,,,
ORG32,000322740,Involvement,Faculty,,,
Z00074291,001986854,Impact,Faculty,,,
ORG132,ORG95,Involvement,Faculty,Sustainability,,
000217828,000141006,Impact,Faculty | Entrepreneurship,,,
000788141,000141006,Impact,Faculty | Entrepreneurship,,,
000307801,000574303,Impact,Graduate Financial Aid,,,
000370808,000083850,Impact,Graduate Financial Aid,,,
000370808,000193312,Impact,Graduate Financial Aid,,,
000452878,ORG64,Impact,Graduate Financial Aid,,,
000654898,000516413,Impact,Graduate Financial Aid,,,
000313986,ORG64,Impact,Graduate Financial Aid ,,,
ORG60,ORG64,Involvement,Graduate Financial Aid ,,,
ORG64,ORG65,Involvement,Graduate Financial Aid ,,,
ORG64,ORG66,Involvement,Graduate Financial Aid ,,,
ORG64,ORG67,Involvement,Graduate Financial Aid ,,,
ORG64,ORG68,Involvement,Graduate Financial Aid ,,,
ORG64,ORG69,Involvement,Graduate Financial Aid ,,,
ORG65,000506519,Involvement,Graduate Financial Aid ,,,
ORG65,000506859,Involvement,Graduate Financial Aid ,,,
ORG65,001158711,Involvement,Graduate Financial Aid ,,,
ORG65,001165854,Involvement,Graduate Financial Aid ,,,
ORG66,001119525,Involvement,Graduate Financial Aid ,,,
ORG66,001172104,Involvement,Graduate Financial Aid ,,,
ORG66,001172234,Involvement,Graduate Financial Aid ,,,
ORG66,001172760,Involvement,Graduate Financial Aid ,,,
ORG67,001914492,Involvement,Graduate Financial Aid ,,,
ORG67,001919355,Involvement,Graduate Financial Aid ,,,
ORG67,001930400,Involvement,Graduate Financial Aid ,,,
ORG67,001936042,Involvement,Graduate Financial Aid ,,,
ORG67,001939538,Involvement,Graduate Financial Aid ,,,
ORG67,001941222,Involvement,Graduate Financial Aid ,,,
ORG67,001941225,Involvement,Graduate Financial Aid ,,,
